index,annotation_symbol
9,+
46,F
209,V
483,N
697,F
853,V
1181,N
1378,V
1579,V
1860,N
2058,V
2242,V
2558,N
2747,V
2930,V
3201,N
3411,V
3606,V
3886,N
4097,F
4262,V
4565,N
4766,F
4944,V
5196,N
5414,F
5568,V
5899,N
6105,V
6304,V
6482,~
6579,N
6776,F
6941,V
7169,N
7349,N
7547,F
7750,N
7951,N
8093,~
8147,N
8317,V
8532,N
8727,N
8922,N
9087,V
9294,N
9472,N
9649,N
9824,V
10035,N
10233,N
10423,N
10595,V
10791,N
10973,N
11155,N
11324,V
11526,N
11697,N
11888,N
12055,V
12273,N
12471,N
12680,N
12894,N
13030,~
13099,N
13292,F
13486,N
13673,N
13850,N
14046,N
14251,N
14449,N
14619,V
14845,N
15036,N
15218,V
15431,N
15628,N
15831,F
16033,N
16241,N
16422,V
16677,N
16899,N
17088,V
17312,N
17515,N
17715,F
17916,N
18110,N
18306,N
18519,N
18727,N
18930,N
19092,V
19333,N
19538,N
19725,V
19850,~
19919,N
20105,N
20291,F
20453,V
20721,N
20932,F
21104,V
21359,N
21560,N
21728,V
21948,N
22148,N
22339,F
22415,+
22492,V
22738,N
22944,N
23128,V
23383,N
23590,N
23786,V
24002,N
24205,N
24395,V
24563,V
24855,N
25060,F
25231,V
25513,N
25716,F
25874,V
26121,N
26321,N
26502,V
26723,N
26916,N
27118,V
27257,+
27397,N
27632,N
27844,V
28013,V
28314,N
28505,V
28670,V
28963,N
29170,F
29344,V
29578,N
29780,N
29984,N
30190,N
30399,N
30598,V
30761,V
31063,N
31248,V
31439,V
31702,N
31913,F
32076,V
32317,N
32516,N
32719,F
32926,N
33130,N
33317,N
33522,N
33737,N
33956,F
34123,V
34405,N
34611,F
34691,+
34772,V
35021,N
35223,N
35384,V
35632,N
35841,N
36024,V
36135,+
36247,N
36451,N
36649,F
36815,V
37044,N
37239,N
37430,N
37611,N
37810,N
38036,F
38204,V
38534,N
38720,V
38892,V
39186,N
39381,F
39550,V
39790,N
40007,N
40183,V
40510,N
40719,V
40899,V
41235,N
41416,V
41593,V
41904,N
42090,V
42282,V
42569,N
42781,F
42940,V
43245,N
43441,V
43620,V
43908,N
44094,F
44260,V
44538,N
44751,F
44920,V
45226,N
45428,F
45598,V
45855,N
46061,F
46211,V
46490,N
46698,F
46866,V
47147,N
47346,F
47428,+
47510,V
47769,N
47971,N
48130,V
48373,N
48577,N
48752,V
49020,N
49239,N
49412,V
49655,N
49864,N
49955,+
50046,V
50322,N
50517,V
50676,V
51007,N
51204,V
51391,V
51708,N
51902,V
52083,V
52331,N
52541,F
52681,V
52977,N
53191,F
53281,+
53372,V
53636,N
53835,N
54002,V
54259,N
54463,N
54634,V
54864,N
55083,N
55273,V
55421,+
55569,N
55799,F
55952,V
56266,N
56454,V
56628,V
56932,N
57122,F
57300,V
57553,N
57771,F
57933,V
58230,N
58444,F
58608,V
58877,N
59075,F
59222,V
59504,N
59714,F
59798,+
59883,V
60149,N
60352,N
60519,V
60763,N
60971,N
61159,V
61405,N
61619,N
61785,V
62097,N
62321,N
62481,V
62749,N
62953,N
63116,V
63364,N
63562,N
63750,V
63865,+
63980,N
64191,N
64397,F
64562,V
64854,N
65053,F
65216,V
65449,N
65634,N
65820,F
66017,N
66218,N
66419,N
66589,V
66792,N
66976,N
67168,F
67331,V
67560,N
67747,N
67931,N
68133,N
68342,N
68552,F
68719,V
68979,N
69190,F
69347,V
69617,N
69812,F
69962,V
70230,N
70441,F
70604,V
70882,N
71084,F
71245,V
71510,N
71711,F
71868,V
72126,N
72318,F
72486,V
72755,N
72969,N
73134,V
73377,N
73579,N
73740,V
73992,N
74193,F
74266,+
74339,V
74594,N
74802,N
74969,V
75210,N
75407,N
75607,V
75711,+
75815,N
76010,N
76204,N
76400,N
76590,N
76793,F
76964,V
77240,N
77449,F
77605,V
77869,N
78071,F
78232,V
78464,N
78646,N
78839,N
79042,N
79262,N
79468,V
79639,V
79931,N
80126,F
80282,V
80525,N
80723,N
80898,V
81108,N
81310,N
81509,F
81674,V
81894,N
82078,N
82274,N
82435,V
82647,N
82829,N
83005,N
83167,V
83400,N
83606,N
83804,N
84002,N
84194,N
84395,F
84553,V
84814,N
85012,N
85166,V
85401,N
85606,N
85810,N
86016,N
86225,N
86432,F
86591,V
86884,N
87069,V
87225,V
87488,N
87694,F
87865,V
88107,N
88308,N
88487,V
88714,N
88929,N
89124,V
89366,N
89562,F
89719,V
89996,N
90211,F
90374,V
90631,N
90834,N
91002,V
91224,N
91426,N
91630,N
91844,N
92054,N
92266,F
92446,V
92723,N
92927,F
93085,V
93348,N
93543,F
93695,V
93924,N
94130,N
94318,V
94537,N
